負責人,站ID,站點規格,啟用日期,名稱,充電槍數,AC槍數量,DC槍數量,槍頭規格,經度,緯度,區域屬性,站點屬性
Anita,TP35,純AC站,2025/06/24,台北東和平面停車場,2,2,0,J1772、TYPE2,121.533155,25.120188,住宅區,平面停車場
Anita,EB61,純DC站,2025/06/24,宜蘭元健大和宜科觀光工廠,2,0,2,CCS1、CCS2,121.755115,24.732616,風景區,景點
Anita,TP00,純AC站,2025/06/30,台北成淵高中地下停車場,8,8,0,J1772、TYPE2,121.5201,25.060336,住宅區,地下停車場
Anita,TP18,純AC站,2025/06/30,台北華江橋下雙層停車場,5,5,0,J1772、TYPE2,121.491476,25.035369,住宅區,平面停車場
Anita,TP50,純AC站,2025/06/30,台北福國路橋下平面停車場,2,2,0,J1772、TYPE2,121.518125,25.101878,住宅區,平面停車場
Kathy,EA69,純AC站,2025/07/01,凱映_南投三塊厝停車場,2,2,0,J1772、TYPE2,120.688802,23.909383,住宅區,平面停車場
Xana,EB54,純AC站,2025/07/01,墾丁Hotel dua,3,3,0,J1772、TYPE2,120.799654,21.942691,風景區,飯店
Kathy,EB76,純AC站,2025/07/01,寶盛重立路停車場,2,2,0,J1772、TYPE2,120.308496,22.681212,住宅區,平面停車場
Kathy,EB81,純AC站,2025/07/01,歐特儀_彰化田中高鐵第一停車場,1,1,0,J1772,120.575912,23.876157,風景區,平面停車場
Kathy,EB82,純AC站,2025/07/01,寶盛中山東路停車場,2,2,0,J1772、TYPE2,120.368983,22.623608,住宅區,平面停車場
Kathy,EB83,純AC站,2025/07/01,寶盛台南武聖光賢停車場,2,2,0,J1772、TYPE2,120.187744,23.003657,住宅區,平面停車場
Kathy,EB84,純AC站,2025/07/01,歐特儀_彰化田中高鐵第二停車場,2,2,0,J1772、TYPE2,120.576131,23.873121,風景區,平面停車場
Anita,TP16,純AC站,2025/07/07,台北雙園國中地下停車場,8,8,0,J1772、TYPE2,121.491566,25.027747,住宅區,地下停車場
Anita,TP44,純AC站,2025/07/07,台北陽明山立體停車場,6,6,0,J1772、TYPE2,121.53907,25.154596,風景區,立體停車場
Anita,TP47,純AC站,2025/07/07,台北陽明山第二停車場,3,3,0,J1772、TYPE2,121.545899,25.155416,風景區,平面停車場
Anita,TP49,純AC站,2025/07/07,台北陽明山花鐘停車場,2,2,0,J1772、TYPE2,121.539683,25.156977,風景區,平面停車場
Anita,TP55,純AC站,2025/07/07,台北豐年運動公園平面停車場,2,2,0,J1772、TYPE2,121.496048,25.13472,住宅區,平面停車場
Ivan,EB77,純AC站,2025/07/11,新北工商展覽中心,9,9,0,J1772、TYPE2,121.448482,25.064646,辦公區,商辦
Kathy,EB74,純AC站,2025/07/17,歐特儀_台北台大癌醫停車場,8,8,0,J1772、TYPE2,121.54366,25.014753,風景區,平面停車場
Lisa,EB66,純AC站,2025/07/21,台北全球人壽希望園區停車場,3,3,0,J1772、TYPE2,121.532779,25.044904,辦公區,商辦
Ivan,EB69,純AC站,2025/07/24,新北晶冠廣場,8,8,0,J1772、TYPE2,121.458322,25.063823,商業區,百貨
Anita,EB80,純AC站,2025/07/24,宜蘭慈濟靜思堂,6,6,0,J1772、TYPE2,121.748696,24.755169,風景區,宗教
Anita,TP48,純AC站,2025/07/28,台北公館路228巷臨時平面停車場,2,2,0,J1772、TYPE2,121.504677,25.124787,住宅區,平面停車場
Anita,TP08,純AC站,2025/07/28,台北大橋橋下停車場,2,2,0,J1772、TYPE2,121.509901,25.063036,住宅區,平面停車場
Anita,TP52,純AC站,2025/07/28,台北關渡醫院旁平面停車場,2,2,0,J1772、TYPE2,121.46583,25.120393,住宅區,平面停車場
Kathy,EB92,純AC站,2025/07/30,國立陽明交通大學_生物醫學大樓,4,4,0,J1772、TYPE2,121.51458,25.12041,住宅區,大專院校
Kathy,TA00,純AC站,2025/08/01,桃園長興平面停車場,2,2,0,J1772、TYPE2,121.283725,24.905714,住宅區,平面停車場
Kathy,TA02,純AC站,2025/08/01,桃園太武新村停車場,1,1,0,J1772,121.282065,24.902331,風景區,平面停車場
Kathy,TA15,純AC站,2025/08/01,桃園龍平停車場,6,6,0,J1772、TYPE2,121.257367,24.93152,風景區,平面停車場
Kathy,TA20,純AC站,2025/08/01,桃園大連平面停車場,3,3,0,J1772、TYPE2,121.206409,24.913057,住宅區,平面停車場
Kathy,TA24,純AC站,2025/08/01,桃園忠貞三公有停車場,2,2,0,J1772、TYPE2,121.255685,24.928455,住宅區,平面停車場
Kathy,TA34,純AC站,2025/08/01,桃園五福停車場,8,8,0,J1772、TYPE2,121.209363,24.959701,住宅區,平面停車場
Kathy,TA35,純AC站,2025/08/01,桃園上海停車場,2,2,0,J1772、TYPE2,121.206777,24.913418,住宅區,平面停車場
Kathy,TA36,純AC站,2025/08/01,桃園新榮平面停車場,1,1,0,J1772,121.212202,24.945327,住宅區,平面停車場
Xana,EB55,純AC站,2025/08/01,高雄MLD台鋁生活商場,3,3,0,J1772、TYPE2,120.305248,22.604583,商業區,百貨
Kathy,EA83,純AC站,2025/08/08,國立台灣大學_公館平面停車場,7,7,0,J1772、TYPE2,121.538387,25.012344,商業區,大專院校
Kathy,EB43,純AC站,2025/08/08,歐特儀_台中崇德館五義停車場,2,2,0,J1772、TYPE2,120.683844,24.155302,風景區,平面停車場
Xana,EB53,純AC站,2025/08/08,高雄Hotel dua,2,2,0,J1772、TYPE2,120.304103,22.630752,商業區,飯店
Anita,TP45,純AC站,2025/08/11,台北社正路平面停車場,2,2,0,J1772、TYPE2,121.508969,25.088142,住宅區,平面停車場
Anita,TP39,純AC站,2025/08/11,台北懷德街55巷平面停車場,4,4,0,J1772、TYPE2,121.519626,25.113216,住宅區,平面停車場
Anita,TP15,純AC站,2025/08/11,台北青年公園棒球場地下停車場,7,7,0,J1772、TYPE2,121.50281,25.02381,住宅區,地下停車場
Ivan,TC39,純AC站,2025/08/21,台中興中立體停車場,5,5,0,J1772,120.67879,24.14451,交通幹道區,立體停車場
Ivan,TC14,純AC站,2025/08/21,台中大誠立體停車場,8,8,0,J1772,120.67933,24.144735,交通幹道區,立體停車場
Ivan,TC07,純AC站,2025/08/18,台中交通局大樓附屬平面停車場,1,1,0,J1772,120.677697,24.139728,辦公區,平面停車場
Ivan,TC05,純AC站,2025/08/20,台中細廣停1東山停車場,2,2,0,J1772,120.733619,24.176395,風景區,平面停車場
Ivan,TC04,純AC站,2025/08/20,台中機130經補庫停車場,4,4,0,J1772,120.732487,24.176914,住宅區,平面停車場
Ivan,TC20,純AC站,2025/08/19,台中神岡停2停車場,1,1,0,J1772,120.709583,24.277992,風景區,平面停車場
Ivan,TC30,純AC站,2025/08/15,台中細停市6頂寮北停車場,2,2,0,J1772,120.54168,24.263513,風景區,平面停車場
