負責人,站ID,站點規格,啟用日期,名稱,充電槍數,AC槍數量,DC槍數量,槍頭規格,經度,緯度,區域屬性,站點屬性
Anita,BZ01,純DC站,2020/04/18,賓航賓士_新北中和,2,0,2,CCS1,121.485519,24.998601,商業區,車廠
Anita,BZ00,純DC站,2020/05/07,台隆賓士_台北濱江,2,0,2,CCS1,121.543045,25.072696,交通幹道區,車廠
Anita,EV01,純AC站,2020/06/18,高雄鳳頂高爾夫練習場,1,1,0,J1772,120.35787,22.589843,住宅區,高球場
Ivan,EV02,純AC站,2020/07/16,嘉義優遊吧斯,3,3,0,J1772、TYPE2,120.6984,23.4628,風景區,景點
Anita,SP02,純AC站,2020/07/21,新竹科學園區_研發四路,2,2,0,J1772,120.998,24.7792,辦公區,科學園區
Anita,SP03,純AC站,2020/07/21,新竹科學園區_篤行會館,2,2,0,J1772,121.02361,24.76981,辦公區,科學園區
Anita,SP04,純AC站,2020/07/22,新竹科學園區_弘道樓,2,2,0,J1772,121.0134,24.7774,辦公區,科學園區
Anita,SP05,純AC站,2020/07/23,苗栗竹南科學園區_轉運站,2,2,0,J1772,120.9228,24.7071,辦公區,科學園區
Anita,SP07,純AC站,2020/07/24,苗栗銅鑼科學園區,2,2,0,J1772,120.7725,24.4633,辦公區,科學園區
Anita,SP09,純AC站,2020/07/27,桃園龍潭科學園區,2,2,0,J1772,121.1885,24.8877,辦公區,科學園區
Anita,SP00,純AC站,2020/07/27,新竹生醫科學園區,2,2,0,J1772,121.0472,24.8071,辦公區,科學園區
Anita,SP08,純AC站,2020/07/30,宜蘭科學園區,2,2,0,J1772,121.7543,24.73215,辦公區,科學園區
Anita,BZ02,純DC站,2020/08/20,賓泓賓士_台南(南區),2,0,2,CCS1,120.183452,22.972449,商業區,車廠
Lisa,EV00,AC+DC站,2020/08/25,台北內湖旗艦站,13,7,6,J1772、TYPE2、CCS1、CCS2、CHAdeMO,121.593142,25.06868,辦公區,旗艦型快充站
Anita,BZ03,純DC站,2020/08/26,德冠賓士_高雄,2,0,2,CCS1,120.303362,22.672273,商業區,車廠
Kathy,EV04,純AC站,2020/09/11,桃園JC PARK春日館,4,4,0,J1772、TYPE2,121.31145,25.009191,商業區,百貨
Anita,EV03,純AC站,2020/09/16,新竹老爺關西高爾夫,3,3,0,J1772、TYPE2,121.196843,24.75337,風景區,高球場
Kathy,EV05,純AC站,2020/09/17,台中港酒店,6,6,0,J1772、TYPE2,120.533589,24.259988,住宅區,飯店
Anita,BZ07,純DC站,2020/09/18,中華賓士_台中河南,2,0,2,CCS1,120.659973,24.173987,商業區,車廠
Anita,BZ05,純DC站,2020/09/18,中華賓士_台北關渡,2,0,2,CCS1,121.468579,25.123385,商業區,車廠
Anita,BZ09,純DC站,2020/09/19,中華賓士_高屏,2,0,2,CCS1,120.389093,22.633548,交通幹道區,車廠
Anita,BZ06,純DC站,2020/09/19,中華賓士_桃園,2,0,2,CCS1,121.272953,24.979548,商業區,車廠
Anita,BZ08,純DC站,2020/09/19,中華賓士_台南(永康區),2,0,2,CCS1,120.219819,23.024863,交通幹道區,車廠
Anita,BZ10,純DC站,2020/09/20,中華賓士_花蓮,2,0,2,CCS1,121.585327,23.980584,商業區,車廠
Kathy,EV07,純AC站,2020/10/21,宜蘭新月廣場,6,6,0,J1772、TYPE2,121.750324,24.753837,商業區,百貨
Kathy,EV06,純AC站,2020/10/22,台中裕元花園酒店,3,3,0,J1772,120.623992,24.179557,商業區,飯店
Xana,EV08,純AC站,2020/11/26,Times台南U.I.J Hotel & Hostel停車場,1,1,0,J1772,120.199868,22.990903,住宅區,飯店
Anita,BZ04,純DC站,2020/12/01,中彰賓士_台中,2,0,2,CCS1,120.6318,24.14408,交通幹道區,車廠
Xana,EV09,純AC站,2020/12/14,台北大倉久和大飯店,3,3,0,J1772,121.52338,25.052345,住宅區,飯店
Xana,FH00,純AC站,2020/12/15,雀客旅館_新北蘆洲,3,3,0,J1772,121.480155,25.081188,商業區,飯店
Lisa,EV11,純AC站,2021/01/14,台北台日交流協會,2,2,0,J1772,121.546205,25.053928,辦公區,商辦
Lisa,YK00,AC+DC站,2021/01/15,台北新光南港軟體園區,4,2,2,J1772、TYPE2、CCS1、CHAdeMO,121.614709,25.05988,辦公區,商辦
Ivan,EV10,純AC站,2021/01/25,高雄漢神百貨,2,2,0,J1772,120.295968,22.619301,商業區,百貨
Ivan,EV12,純DC站,2021/02/01,宜蘭安永心食館,2,0,2,CCS1、CHAdeMO,121.818453,24.614987,交通幹道區,景點
Lisa,HS01,純DC站,2021/02/03,金弘笙_台南永康店,2,0,2,CCS1、CHAdeMO,120.2445,23.0419,交通幹道區,連鎖量販-金弘笙
Lisa,HS02,純DC站,2021/02/03,金弘笙_高雄九如店,2,0,2,CCS1、CCS2,120.32816,22.638904,交通幹道區,連鎖量販-金弘笙
Kathy,TH00,純AC站,2021/02/06,屏東統一墾丁渡假村,3,3,0,J1772,120.850309,21.906333,風景區,民宿
Anita,EV17,純AC站,2021/03/03,台北信義之星(限住戶使用),2,2,0,J1772,121.564872,25.030631,住宅區,社區
Kathy,EV18,純AC站,2021/03/08,台中福華大飯店,3,3,0,J1772、TYPE2,120.624293,24.180303,商業區,飯店
Ivan,EV19,純AC站,2021/03/10,苗栗天空之城,2,2,0,J1772、TYPE2,120.7777,24.348762,風景區,景點
Jason,7E01,純DC站,2021/03/29,7-11_南投邵月門市(原鑫中潭),2,0,2,CCS1、CHAdeMO,120.927406,23.905093,交通幹道區,超商
Xana,EV16,純AC站,2021/03/31,嘉義耐斯王子大飯店,3,3,0,J1772、TYPE2,120.453427,23.496332,商業區,飯店
Lisa,EV13,純AC站,2021/04/01,新竹昌益科技產發園區,3,3,0,J1772,121.009071,24.845008,辦公區,商辦
Lisa,YK01,純AC站,2021/04/12,台北內湖亞太經貿廣場A棟,3,3,0,J1772,121.57444,25.072274,辦公區,商辦
Anita,BZ12,純DC站,2021/04/15,台明賓士_新北三重,2,0,2,CCS1,121.47245,25.0572,商業區,車廠
Kathy,EV20,AC+DC站,2021/05/03,新北土城日月光廣場,4,2,2,J1772、CCS1、CHAdeMO,121.44507,24.978658,商業區,百貨
Anita,BZ11,純DC站,2021/05/05,中華賓士_台北內湖,2,0,2,CCS1,121.5773,25.0632,商業區,車廠
Anita,EV23,純AC站,2021/05/17,台中豐原高爾夫球場,2,2,0,J1772、TYPE2,120.755477,24.264939,交通幹道區,高球場
Xana,EV25,純DC站,2021/06/01,新北萬里沐舍酒店,2,0,2,CCS1、CHAdeMO,121.64336,25.2152,交通幹道區,飯店
Lisa,BQ00,AC+DC站,2021/07/16,桃園南崁特力家居,4,2,2,J1772、TYPE2、CCS1、CHAdeMO,121.2947,25.04039,商業區,連鎖量販-特力家居
Xana,EV27,純AC站,2021/08/02,新竹豐邑喜來登大飯店,3,3,0,J1772,121.027958,24.820428,住宅區,飯店
Xana,EV22,純AC站,2021/08/09,宜蘭五結綠舞觀光飯店,2,2,0,J1772,121.819292,24.701727,風景區,飯店
Kathy,EV26,純AC站,2021/08/16,宜蘭外澳服務區停車場,2,2,0,J1772、TYPE2,121.842375,24.878781,交通幹道區,景點
Xana,EV21,純AC站,2021/08/30,新北馥蘭朵烏來渡假酒店,2,2,0,J1772,121.547464,24.869861,交通幹道區,飯店
Lisa,HS00,純DC站,2021/08/30,金弘笙_新竹竹北店,2,0,2,CCS1、CHAdeMO,121.0205,24.817997,住宅區,連鎖量販-金弘笙
Xana,EV30,純AC站,2021/09/10,雲林斗六緻麗伯爵酒店,2,2,0,J1772,120.542568,23.710864,商業區,飯店
Ivan,EV29,純AC站,2021/09/17,高雄大榮中學停車場,3,3,0,J1772、TYPE2,120.2812,22.6527,住宅區,社區
Kathy,EV28,AC+DC站,2021/09/22,新竹Big City遠東巨城,28,26,2,J1772、TYPE2、CCS1、CCS2,120.975103,24.810763,商業區,百貨
Xana,EV31,純AC站,2021/09/27,新北永和比漾廣場,2,2,0,J1772,121.507555,25.007919,商業區,百貨
Xana,EV32,純AC站,2021/10/18,台中米平方廣場,3,3,0,J1772,120.61168,24.192309,商業區,百貨
Xana,FH01,純AC站,2021/10/28,F-Hotel_嘉義館,2,2,0,J1772,120.536748,23.471763,交通幹道區,飯店
Lisa,YK02,純AC站,2021/11/08,新北淡水新光淡江複合學舍,2,2,0,J1772,121.448735,25.178666,住宅區,大專院校
Xana,EV33,純AC站,2021/11/15,台東日暉國際渡假村,2,2,0,J1772,121.198691,23.105644,風景區,民宿
Xana,TH01,純AC站,2021/12/08,新竹統一馬武督渡假會議中心,3,3,0,J1772,121.217652,24.767992,交通幹道區,飯店
Xana,EV34,純AC站,2021/12/10,台北維多麗亞酒店,3,3,0,J1772,121.55892,25.084344,商業區,飯店
Xana,TS00,純AC站,2021/12/16,台糖_台北會館,3,3,0,J1772,121.510158,25.045301,住宅區,飯店
Xana,EV35,純AC站,2021/12/20,宜蘭蘭陽烏石港海景酒店,3,3,0,J1772,121.829586,24.862558,交通幹道區,飯店
Ivan,TK00,純DC站,2021/12/29,燦坤_台中五權店,2,0,2,CCS1、CHAdeMO,120.636201,24.142767,交通幹道區,連鎖量販-燦坤
Xana,TH02,純AC站,2022/01/10,台中統一谷關渡假村,3,3,0,J1772,121.001665,24.202559,風景區,民宿
Xana,EV37,純AC站,2022/01/26,高雄SKM Park,6,6,0,J1772、TYPE2,120.329391,22.583347,商業區,百貨
Xana,EV41,純AC站,2022/01/26,台南長榮酒店,3,3,0,J1772,120.220895,22.9745,住宅區,飯店
Lisa,EV39,純AC站,2022/02/09,新北汐止宏碁大樓(限大樓員工/廠商使用),3,3,0,J1772,121.648049,25.060918,辦公區,商辦
Kathy,EV36,純AC站,2022/02/21,台中豐邑MOXY酒店,3,3,0,J1772,120.646738,24.131771,住宅區,飯店
Xana,EV40,純AC站,2022/02/21,新北大板根森林溫泉渡假村,4,4,0,J1772,121.406855,24.871476,風景區,民宿
Xana,EV14,純AC站,2022/03/24,台北花園大酒店,2,2,0,J1772、TYPE2,121.507051,25.037306,住宅區,飯店
Xana,EV24,AC+DC站,2022/03/30,宜蘭礁溪立體停車場(原宜蘭九號溫泉),7,3,4,J1772、CCS1、CCS2,121.772214,24.829775,風景區,飯店
Ivan,TK02,AC+DC站,2022/03/30,燦坤_台北內湖總部,9,3,6,J1772、TYPE2、CCS1、CCS2、CHAdeMO,121.572808,25.063236,商業區,連鎖量販-燦坤
Anita,FC01,純AC站,2022/03/30,桃園長庚高爾夫球場,3,3,0,J1772,121.381232,25.027149,風景區,高球場
Anita,FC02,純AC站,2022/03/30,桃捷長庚醫院站共開大樓,1,1,0,J1772,121.369944,25.059854,商業區,醫院
Anita,BZ13,純DC站,2022/04/01,聯立賓士_新竹,2,0,2,CCS1,120.99472,24.81762,商業區,車廠
Jason,7E03,純DC站,2022/04/25,7-11_南投竹秀門市,2,0,2,CCS1、CCS2,120.713371,23.800113,交通幹道區,超商
Xana,EV47,AC+DC站,2022/06/01,新竹和選旅,5,3,2,J1772、CCS1、CCS2,121.002531,24.790104,交通幹道區,飯店
Ivan,TK03,純DC站,2022/06/15,燦坤_高雄華榮店,2,0,2,CCS1、CHAdeMO,120.295549,22.668002,住宅區,連鎖量販-燦坤
Anita,BZ14,純DC站,2022/06/23,聯立賓士-中壢,2,0,2,CCS1,121.207866,24.944049,商業區,車廠
Ivan,EV15,AC+DC站,2022/06/29,嘉義翁聚德觀光工廠,5,3,2,J1772、CCS1、CCS2,120.482732,23.45079,交通幹道區,景點
Jason,7E00,純DC站,2022/06/29,7-11_桃園江園門市,2,0,2,CCS1、CHAdeMO,121.228527,25.005272,商業區,超商
Lisa,EV48,純AC站,2022/07/06,新北汐止宏碁公司(限宏碁員工/廠商使用),3,3,0,J1772,121.647499,25.060509,辦公區,商辦
Ivan,EV43,純AC站,2022/07/18,台南南瀛綠都心停車場,12,12,0,J1772,120.31603,23.30978,風景區,景點
Ivan,EV49,純AC站,2022/07/18,嘉義故宮南院 ,3,3,0,J1772,120.295114,23.469975,風景區,景點
Xana,EV50,純AC站,2022/07/20,溪頭盛軒森林渡假會館,2,2,0,J1772,120.793853,23.677821,住宅區,飯店
Xana,EV52,純AC站,2022/08/01,雀客藏居_台北陽明山,2,2,0,J1772,121.548785,25.144194,住宅區,飯店
Xana,EV51,純AC站,2022/08/24,南投集集金格民宿,2,2,0,J1772,120.792337,23.826838,風景區,民宿
Kathy,EV54,純AC站,2022/08/29,台南富農停車場,3,3,0,J1772,120.232967,22.981734,住宅區,平面停車場
Kathy,EV42,純DC站,2022/08/31,苗栗三義車亭服務區,2,0,2,CCS1、CHAdeMO,120.758597,24.390751,交通幹道區,國道休息區
Xana,EV55,純AC站,2022/09/04,南投埔里故事館,3,3,0,J1772,120.971838,23.955665,風景區,民宿
Xana,EV38,AC+DC站,2022/10/03,花蓮立閣人文旅店,4,2,2,J1772、CCS1、CHAdeMO,121.643584,24.131583,風景區,民宿
Lisa,EV61,純AC站,2022/10/04,台北101_賓士目的地充電站,3,3,0,J1772,121.565056,25.033953,商業區,商辦
Xana,EV57,純AC站,2022/10/05,花蓮本來食藝空間,2,2,0,J1772,121.490152,23.837837,風景區,民宿
Xana,EV60,純AC站,2022/10/05,桃園龍潭渴望會館,3,3,0,J1772,121.183831,24.839758,住宅區,飯店
Lisa,BQ01,AC+DC站,2022/10/06,Life1生活廣場高雄館,5,3,2,J1772、CCS1、CCS2,120.319414,22.676147,商業區,連鎖量販-特力家居
Kathy,EV62,純AC站,2022/10/12,高雄右昌停車場,2,2,0,J1772,120.290775,22.710139,商業區,平面停車場
Xana,EV56,純AC站,2022/10/17,花蓮芳草古樹花園,2,2,0,J1772,121.453899,23.747121,風景區,民宿
Ivan,EV53,AC+DC站,2022/10/18,高雄展覽館,7,5,2,J1772、TYPE2、CCS1、CCS2,120.298313,22.608097,風景區,景點
Ivan,TK04,純DC站,2022/11/02,燦坤_竹北神山超越店,2,0,2,CCS1、CCS2,121.02196,24.8197,商業區,連鎖量販-燦坤
Anita,EV58,純AC站,2022/11/14,MITSUI OUTLET PARK 林口Ⅰ館,20,20,0,J1772、TYPE2,121.363891,25.071507,商業區,百貨
Lisa,BQ02,純DC站,2022/11/23,Life1生活廣場台南館,2,0,2,CCS1、CCS2,120.244913,22.973066,商業區,連鎖量販-特力家居
Jason,7E05,純DC站,2022/12/01,7-11_高雄得富門市,2,0,2,CCS1、CCS2,120.330614,22.678745,住宅區,超商
Xana,EV64,純AC站,2022/12/23,嘉義阿里山英迪格酒店,6,6,0,J1772、TYPE2,120.672471,23.444105,住宅區,飯店
Lisa,EV46,AC+DC站,2022/12/26,台北101購物中心,24,18,6,J1772、TYPE2、CCS1、CCS2、CHAdeMO,121.565137,25.034392,商業區,百貨
Anita,FC03,純AC站,2022/12/27,宜蘭礁溪寒沐酒店,3,3,0,J1772,121.7734,24.829922,風景區,飯店
Jason,7E04,純DC站,2022/12/28,7-11_台東卑南門市,2,0,2,CCS1、CCS2,121.127443,22.776385,交通幹道區,超商
Anita,BZ21,純DC站,2023/01/04,裕賓賓士_宜蘭,2,0,2,CCS1,121.778081,24.685161,商業區,車廠
Ivan,EV63,純AC站,2023/01/16,高雄漢神巨蛋,2,2,0,J1772、TYPE2,120.302948,22.670828,商業區,百貨
Kathy,EV66,純AC站,2023/02/02,高雄景昌停車場,2,2,0,J1772、TYPE2,120.282888,22.714678,交通幹道區,平面停車場
Anita,EV68,純AC站,2023/04/19,新北新店台北慈濟醫院,3,3,0,J1772、TYPE2,121.536759,24.985659,交通幹道區,醫院
Xana,EV69,純AC站,2023/05/03,新北八里福朋喜來登酒店,4,4,0,J1772、TYPE2,121.429639,25.159597,風景區,飯店
Xana,EV70,純AC站,2023/05/03,新竹老爺酒店,4,4,0,J1772、TYPE2,121.020599,24.781975,住宅區,飯店
Kathy,EV71,純AC站,2023/05/03,南投日月潭御朝休閒渡假村,3,3,0,J1772、TYPE2,120.951764,23.876579,風景區,民宿
Xana,EV72,純AC站,2023/05/16,桃園悅華大酒店,7,7,0,J1772、TYPE2,121.247839,24.87064,風景區,飯店
Lisa,EV73,純AC站,2023/05/25,群聯電子苗栗竹南分公司,5,5,0,J1772、TYPE2,120.912573,24.719332,辦公區,商辦
Kathy,EV59,AC+DC站,2023/05/29,辰淵_高雄小港地下停車場,14,10,4,J1772、TYPE2、CCS1、CCS2、CHAdeMO,120.33755,22.56465,住宅區,地下停車場
Kathy,EV76,純AC站,2023/06/05,台中金典酒店,3,3,0,J1772、TYPE2,120.663321,24.15625,商業區,飯店
Ivan,TK01,AC+DC站,2023/06/05,燦坤_新竹光復店,3,1,2,J1772、CCS1、CHAdeMO,121.001572,24.794741,交通幹道區,連鎖量販-燦坤
Lisa,EV75,純AC站,2023/06/14,桃園龍潭渴望研究園,3,3,0,J1772、TYPE2,121.189137,24.83688,辦公區,商辦
Kathy,EV74,純AC站,2023/06/19,台南鼎豐金華停車場,6,6,0,J1772、TYPE2,120.189986,22.968093,商業區,平面停車場
Kathy,EV78,純AC站,2023/07/03,高雄永發左營高鐵後站停車場,5,5,0,J1772、TYPE2,120.305506,22.68661,商業區,平面停車場
Ivan,SY00,純AC站,2023/07/11,順益汽車_濱江營業所,1,1,0,J1772,121.546473,25.072642,商業區,車廠
Ivan,SY01,純AC站,2023/07/11,順益汽車_中和營業所,1,1,0,J1772,121.484146,25.007668,交通幹道區,車廠
Ivan,SY02,純AC站,2023/07/11,順益汽車_中壢營業所,1,1,0,J1772,121.237482,24.96817,交通幹道區,車廠
Anita,FC05,純AC站,2023/07/29,桃園中華航空企業總部(限內部員工使用),6,6,0,J1772、TYPE2,121.22044,25.068595,交通幹道區,商辦
Anita,EV86,純AC站,2023/08/14,桃園元素格鬥健身會館,2,2,0,J1772,121.219731,24.870412,交通幹道區,運動
Ivan,TK09,純AC站,2023/08/14,燦坤_新北淡水中山店,3,3,0,J1772、TYPE2,121.444533,25.184203,住宅區,連鎖量販-燦坤
Ivan,TK08,純AC站,2023/08/14,燦坤_基隆安樂店,3,3,0,J1772、TYPE2,121.719736,25.132847,商業區,連鎖量販-燦坤
Xana,EV84,純AC站,2023/08/15,南投日月潭諾丁丘民宿,1,1,0,J1772,120.88084,23.817119,風景區,民宿
Lisa,EV83,純AC站,2023/08/24,台北企業總部園區,6,6,0,J1772、TYPE2,121.586727,25.059497,辦公區,商辦
Ivan,TK11,AC+DC站,2023/08/31,燦坤_嘉義旗艦店,4,2,2,J1772、TYPE2、CCS1、CCS2,120.445196,23.491137,風景區,連鎖量販-燦坤
Ivan,TK12,純AC站,2023/08/31,燦坤_高雄新岡山店,3,3,0,J1772,120.291481,22.791363,商業區,連鎖量販-燦坤
Kathy,EV89,純AC站,2023/09/20,台中林酒店,5,5,0,J1772、TYPE2,120.636991,24.165575,商業區,飯店
Kathy,EV87,純AC站,2023/09/20,桃園鼎豐巧合停車場,4,4,0,J1772、TYPE2,121.30455,25.028585,交通幹道區,平面停車場
Jason,7E06,純DC站,2023/09/20,7-11_台中成功嶺門市,2,0,2,CCS1、CCS2,120.5984,24.11108,住宅區,超商
Lisa,FM00,純DC站,2023/09/20,全家_屏東車城風車店,2,0,2,CCS1、CCS2,120.713617,22.069418,交通幹道區,超商
Ivan,TK10,純AC站,2023/10/03,燦坤_彰化中正店,3,3,0,J1772、TYPE2,120.536632,24.072542,商業區,連鎖量販-燦坤
Ivan,EV85,AC+DC站,2023/10/03,台東航空站,5,3,2,J1772、TYPE2、CCS1、CHAdeMO,121.108201,22.755999,交通幹道區,景點
Ivan,EV82,AC+DC站,2023/10/05,嘉義吳鳳公園,10,6,4,J1772、TYPE2、CCS1、CCS2、CHAdeMO,120.53098,23.4419,風景區,景點
Kathy,EV81,純AC站,2023/10/05,台南鼎豐湯城停車場,2,2,0,J1772、TYPE2,120.23298,22.99868,住宅區,平面停車場
Kathy,EV91,純AC站,2023/11/14,新北市南林科技園區立體停車場(僅限內部員工使用),8,8,0,J1772、TYPE2,121.406994,25.044693,辦公區,商辦
Jason,7E11,純DC站,2023/11/23,7-11_台中建日門市,2,0,2,CCS1、CCS2,120.629516,24.109173,住宅區,超商
Jason,ST00,純DC站,2023/11/28,星巴克_台中沙鹿北勢門市,4,0,4,CCS1、CCS2、CHAdeMO,120.573172,24.230648,住宅區,餐飲
Xana,EV94,純AC站,2023/11/28,宜蘭玉蘭函館,1,1,0,J1772,121.59384,24.671154,風景區,民宿
Anita,EV95,純AC站,2023/11/30,台北市松山運動中心,2,2,0,J1772、TYPE2,121.550558,25.048603,住宅區,運動
ivan,EV67,純DC站,2023/11/30,新焦點麗車坊_台南永華門市,2,0,2,CCS1、CCS2,120.186085,22.989094,住宅區,連鎖量販-麗車坊
Xana,EV97,純AC站,2023/12/14,桃園名人堂花園大飯店,6,6,0,J1772、TYPE2,121.228871,24.844052,風景區,飯店
Xana,EV96,純AC站,2023/12/14,宜蘭文青苑民宿(7/15、19~20不對外開放),1,1,0,J1772,121.752262,24.673473,風景區,民宿
Anita,FC06,純AC站,2023/12/19,輔大醫療大樓停車場(國璽樓),2,2,0,J1772,121.431625,25.038848,風景區,醫院
Ivan,MG00,純AC站,2023/12/20,MG順怡汽車_台中沙鹿,1,1,0,J1772,120.558848,24.230119,交通幹道區,車廠
Kathy,EV93,純AC站,2023/12/27,旅幸福_台中館,2,2,0,J1772、TYPE2,120.684819,24.141148,商業區,飯店
Jason,7E07,純DC站,2023/12/28,7-11_雲林保庄門市,2,0,2,CCS1、CCS2,120.530541,23.709253,住宅區,超商
Jason,7E10,純DC站,2023/12/29,7-11_新竹冠亨門市,2,0,2,CCS1、CCS2,120.931688,24.843499,交通幹道區,超商
Xana,EV77,純AC站,2023/12/31,日月潭力麗溫德姆溫泉酒店,8,8,0,J1772、TYPE2,120.932005,23.847174,商業區,飯店
Anita,EV99,純AC站,2024/01/19,桃園市八德國民運動中心,10,10,0,J1772、TYPE2,121.293229,24.960456,住宅區,運動
Ivan,MG01,純AC站,2024/01/22,MG順怡汽車_彰化員林,1,1,0,J1772,120.569715,23.981324,交通幹道區,車廠
Xana,EA01,純AC站,2024/01/23,高雄華園親子飯店草衙館,2,2,0,J1772、TYPE2,120.330061,22.585046,風景區,飯店
Ivan,EV92,純AC站,2024/02/01,桃園華泰名品城(一期),9,9,0,J1772、TYPE2,121.212073,25.013975,商業區,百貨
Ivan,EA02,純AC站,2024/02/01,桃園華泰名品城(二期),6,6,0,J1772、TYPE2,121.214025,25.015963,商業區,百貨
Ivan,EA03,純AC站,2024/02/01,桃園華泰名品城(三期),12,12,0,J1772、TYPE2,121.215447,25.017267,商業區,百貨
Xana,EV90,純DC站,2024/02/06,屏東墾丁瑪雅之家,2,0,2,CCS1、CCS2,120.790892,21.949791,風景區,民宿
Xana,EA04,純AC站,2024/03/13,高雄星澄風旅,2,2,0,J1772、TYPE2,120.29837,22.669993,住宅區,飯店
Anita,EA05,純AC站,2024/03/29,台北市文山運動中心,2,2,0,J1772、TYPE2,121.558983,24.996976,住宅區,運動
Lisa,EA06,純AC站,2024/04/17,台中巨大集團全球營運總部,6,6,0,J1772、TYPE2,120.611743,24.208351,辦公區,商辦
Jason,SM02,純DC站,2024/04/19,統一精工_康橋商場停車場,4,0,4,CCS1、CCS2,120.234417,23.0207,住宅區,加油站
Xana,EA07,純AC站,2024/04/26,新北大板根森林溫泉酒店,2,2,0,J1772、TYPE2,121.406605,24.870969,風景區,飯店
Kathy,EV98,純AC站,2024/05/03,全之駐國立臺南生活美學館停車場,4,4,0,J1772、TYPE2,120.187372,22.99222,風景區,景點
Lisa,EA11,純AC站,2024/05/07,基隆樂利停車場,2,2,0,J1772、TYPE2,121.716684,25.126417,住宅區,平面停車場
Xana,EA00,純AC站,2024/05/09,屏東恆春南喃夕語。暮日,2,2,0,J1772、TYPE2,120.717029,21.970254,風景區,民宿
Xana,EA10,純AC站,2024/05/09,礁溪冠翔泉旅,3,3,0,J1772、TYPE2,121.769209,24.827115,風景區,飯店
Lisa,EA19,純AC站,2024/06/05,臺灣永光化學公司第四廠,1,1,0,J1772,121.065098,25.037798,辦公區,商辦
Lisa,KU00,純DC站,2024/06/06,藏壽司_羅東中山路店,2,0,2,CCS1、CCS2,121.778851,24.674767,交通幹道區,餐飲
Lisa,EV88,純DC站,2024/06/19,台北中崙第一停車場,6,0,6,CCS1、CCS2,121.539436,25.04568,住宅區,加油站
Anita,EA23,純AC站,2024/06/21,新北市青少年圖書館,2,2,0,J1772、TYPE2,121.51074,24.959752,住宅區,圖書館
Jason,SM00,純DC站,2024/06/26,統一精工速邁樂南屯,2,0,2,CCS1、CCS2,120.605939,24.161974,交通幹道區,加油站
Ivan,EA25,純AC站,2024/06/28,新北三峽公有市場,2,2,0,J1772、TYPE2,121.370433,24.935345,住宅區,市場
Ivan,EA26,純AC站,2024/06/28,新北民享公有市場,2,2,0,J1772、TYPE2,121.474213,25.003116,住宅區,市場
Ivan,EA27,純AC站,2024/06/28,新北泰山公有市場,2,2,0,J1772、TYPE2,121.433439,25.056068,住宅區,市場
Jason,SM01,純DC站,2024/07/03,統一精工速邁樂新營二,2,0,2,CCS1、CCS2,120.31487,23.320732,交通幹道區,加油站
Anita,FC10,AC+DC站,2024/07/03,高雄凹子底停5停車場,5,3,2,J1772、TYPE2、CCS1、CCS2,120.30681,22.675818,住宅區,平面停車場
Lisa,KU01,純DC站,2024/07/09,藏壽司_沙鹿中山店,2,0,2,CCS1、CCS2,120.565054,24.248609,辦公區,餐飲
Xana,EA28,純AC站,2024/07/31,屏東YOHO悠活渡假村,3,3,0,J1772、TYPE2,120.70539,21.997968,風景區,民宿
Anita,TP23,純AC站,2024/08/20,台北世貿公園地下停車場,14,14,0,J1772、TYPE2,121.614577,25.057756,辦公區,地下停車場
Lisa,EA32,純AC站,2024/08/27,歐特儀股份有限公司鎮興停車場,2,2,0,J1772、TYPE2,120.31158,22.592859,住宅區,平面停車場
Lisa,EA34,純AC站,2024/08/27,歐特儀股份有限公司鎮榮停車場,2,2,0,J1772、TYPE2,120.309666,22.58878,住宅區,平面停車場
Lisa,EA46,純AC站,2024/08/29,歐特儀股份有限公司瑞豐停車場(A區),2,2,0,J1772、TYPE2,120.335805,22.606524,風景區,平面停車場
Lisa,EA38,純AC站,2024/08/30,大東文化藝術中心地下停車場,5,5,0,J1772、TYPE2,120.362217,22.624317,住宅區,地下停車場
Lisa,EA42,純AC站,2024/08/30,歐特儀股份有限公司后安停車場,2,2,0,J1772、TYPE2,120.32204,22.573627,交通幹道區,平面停車場
Anita,FC09,AC+DC站,2024/09/02,台中港旅客服務中心停車場,11,3,8,J1772、CCS1、CCS2,120.521866,24.260513,商業區,景點
Lisa,EA35,純AC站,2024/09/10,歐特儀股份有限公司旗津老街停車場,2,2,0,J1772、TYPE2,120.268187,22.610468,交通幹道區,平面停車場
Lisa,EA37,純AC站,2024/09/10,歐特儀股份有限公司中光停車場,1,1,0,J1772,120.355702,22.57171,住宅區,平面停車場
Lisa,EA36,純AC站,2024/09/10,歐特儀股份有限公司仁愛三街停車場,1,1,0,J1772,120.311049,22.615391,住宅區,平面停車場
Lisa,EA33,純AC站,2024/09/10,歐特儀股份有限公司鎮賢停車場,1,1,0,J1772,120.309379,22.58981,住宅區,平面停車場
Lisa,EA39,純AC站,2024/09/11,歐特儀股份有限公司時代大道停車場,3,3,0,J1772、TYPE2,120.308768,22.596398,商業區,平面停車場
Lisa,EA55,純AC站,2024/09/11,歐特儀股份有限公司店北停車場,1,1,0,TYPE2,120.351458,22.562707,住宅區,平面停車場
Lisa,EA50,純AC站,2024/09/11,歐特儀股份有限公司瑞泰停車場,2,2,0,J1772、TYPE2,120.335113,22.607059,風景區,平面停車場
